Rótulos de Linha;cu Média de CPU(milicores);du Média de CPU(milicores);ru Média de CPU(milicores);cu DesvPad de CPU(milicores);du DesvPad de CPU(milicores);ru DesvPad de CPU(milicores);cu Média de MEMORY(Mi);du Média de MEMORY(Mi);ru Média de MEMORY(Mi);cu DesvPad de MEMORY(Mi);du DesvPad de MEMORY(Mi);ru DesvPad de MEMORY(Mi);Total Média de CPU(milicores);Total DesvPad de CPU(milicores);Total Média de MEMORY(Mi);Total DesvPad de MEMORY(Mi)
815;0;298.5959184;56.46938776;0;149.1050329;19.0501459;120.7163265;421.4693878;81.46326531;0.494487791;18.96472028;9.464370683;118.355102;155.9094155;207.8829932;152.4194838
820;0;298.5959184;56.46938776;0;149.1050329;19.0501459;120.7163265;421.4693878;81.46326531;0.494487791;18.96472028;9.464370683;118.355102;155.9094155;207.8829932;152.4194838
825;0;298.2632653;57.08979592;0;149.6747875;18.26761127;120.7163265;421.5020408;81.66530612;0.494487791;18.98112818;8.70713106;118.4510204;155.8500396;207.9612245;152.3645194
830;0;295.9857143;57.03877551;0;150.294237;18.35740732;120.7163265;421.5020408;81.66122449;0.494487791;18.98112818;8.744704885;117.6748299;155.1843862;207.9598639;152.3663642
835;0;295.9857143;57.03877551;0;150.294237;18.35740732;120.7163265;421.5020408;81.66122449;0.494487791;18.98112818;8.744704885;117.6748299;155.1843862;207.9598639;152.3663642
840;0;295.9571429;57.11020408;0;150.2950887;18.42655509;120.7163265;421.5020408;81.66122449;0.494487791;18.98112818;8.744704885;117.6891156;155.1671334;207.9598639;152.3663642
845;0;296.0489796;57.22244898;0;150.3550864;18.46495343;120.7163265;421.5020408;81.66326531;0.494487791;18.98112818;8.745602316;117.7571429;155.2085803;207.9605442;152.3658171
85;321.27;329.6039604;248.7805755;218.1058892;212.1643268;251.0296171;9.07;8.841584158;3.773381295;2.400568115;2.540601005;2.039964449;280.9561587;239.2262898;5.947807933;3.393229537
850;0;296.5612245;57.19387755;0;150.6082736;18.40593072;120.7163265;421.5020408;81.66530612;0.494487791;18.98112818;8.746031552;117.9183673;155.4879016;207.9612245;152.365261
855;0;295.7510204;56.94693878;0;151.0111091;18.45309205;120.7163265;421.5020408;81.5;0.494487791;18.98112818;9.475023674;117.5659864;155.341796;207.9061224;152.4254844
860;0;295.9693878;56.90204082;0;151.1183568;18.46564809;120.7163265;421.5020408;81.5;0.494487791;18.98112818;9.475023674;117.6238095;155.4663968;207.9061224;152.4254844
865;0;295.9693878;56.90204082;0;151.1183568;18.46564809;120.7163265;421.5020408;81.5;0.494487791;18.98112818;9.475023674;117.6238095;155.4663968;207.9061224;152.4254844
870;0;295.6346939;56.90612245;0;150.9643684;18.51996555;120.7163265;421.5020408;81.50204082;0.494487791;18.98112818;9.475455103;117.5136054;155.2901262;207.9068027;152.4249288
875;0;295.6346939;56.90612245;0;150.9643684;18.51996555;120.7163265;421.5020408;81.50204082;0.494487791;18.98112818;9.475455103;117.5136054;155.2901262;207.9068027;152.4249288
880;0;295.5346939;56.92857143;0;150.9326826;18.54891836;120.7163265;421.5020408;81.50204082;0.494487791;18.98112818;9.475455103;117.4877551;155.2398423;207.9068027;152.4249288
885;0;295.3489796;56.94897959;0;150.8275558;18.51864282;120.7163265;421.5020408;81.52244898;0.494487791;18.98112818;9.30556632;117.4326531;155.1309134;207.9136054;152.4157994
890;0;295.3489796;56.94897959;0;150.8275558;18.51864282;120.7163265;421.5020408;81.52244898;0.494487791;18.98112818;9.30556632;117.4326531;155.1309134;207.9136054;152.4157994
895;0;295.3102041;57.04897959;0;150.8009756;18.64263121;120.7163265;421.5020408;81.5244898;0.494487791;18.98112818;9.306000672;117.4530612;155.0994241;207.9142857;152.4152438
90;327.9354839;313.3984375;286.5137615;205.9741772;208.44374;248.2879024;9.185483871;8.8828125;4.018348624;2.184077396;2.422405565;2.009097337;301.328152;231.6310441;6.200345423;3.283269936
900;0;293.6571429;57.02040816;0;150.8823293;18.59622606;120.7163265;421.5346939;81.5244898;0.494487791;18.99574326;9.306000672;116.892517;154.4960692;207.9251701;152.4311131
95;333.6604938;311.9435028;333.4696262;178.7801371;186.818693;236.4896807;9.259259259;8.649717514;4.285046729;2.23622229;2.85072009;1.934055875;328.5423729;214.466794;6.342894394;3.224583033
